name,identifier,parent
West Central Papuan linkage,None,cent2070
Nuclear West Central Papuan linkage,None,west2850
Oumic,None,cent2070
Magoric,None,oumi1237
Sinagoro-Keapara,None,cent2070
Hula-Keapara,None,sina1272
Meso Melanesian linkage,None,west2818
New Ireland-Northwest Solomonic linkage,None,meso1253
Tabar linkage,None,newi1242
St George linkage,None,newi1242
Label-Bilur,None,stge1234
Patpatar-Minigir-Tolai,None,stge1234
Minigir-Tolai,None,patp1244
Kandas-Duke of York,None,stge1234
Northwest Solomonic,None,stge1234
Mono-Uruavan,None,nort3225
New Georgia,None,nort3225
West New Georgia,None,newg1239
Simboic,None,west2857
Ghanongga-Lungga,None,simb1260
East New Georgia,None,newg1239
Rovianic,None,east2761
Hoava-Kusaghe,None,rovi1239
Marovo-Vangunu,None,east2761
Choiseul,None,nort3225
West Choiseul,None,choi1242
East Choiseul,None,choi1242
Southeast Choiseul,None,east2760
North Bougainville Oceanic,None,nort3225
Nuclear North Bougainville Oceanic,None,neha1246
Buka,None,nucl1750
Saposa-Tinputz,None,buka1262
Tinputzic,None,sapo1252
Haliaic,None,buka1262
Santa Isabel,None,nort3225
East Santa Isabel,None,sant1458
Central Santa Isabel,None,sant1458
Zazao-Blanga,None,cent2063
West Santa Isabel,None,nort3225
Banoni-Piva,None,nort3225
Tungak-Nalik,None,newi1242
Madak linkage,None,newi1242
Bali-Vitu,bvi,meso1253
Willaumez linkage,None,meso1253
Nakanai-Meramera,None,will1243
Bola-Bulu,None,will1243
North New Guinea linkage,None,west2818
Ngero-Vitiaz linkage,None,nort3206
Ngero,None,nger1241
Western Ngero,None,nger1240
Tuam,None,west2862
Eastern Ngero,None,nger1240
Kaliai-Kove,None,east2772
Vitiaz linkage,None,nger1241
Bel-Roinji-Nenaya,None,viti1243
Bel,None,belr1234
Western Bel,None,bell1262
Eastern Bel,None,bell1262
Mengenic,None,viti1243
Mamusa-Mengen,None,meng1266
Southwest New Britain linkage,None,viti1243
Arawe-Pasismanua,None,sout2874
Pasismanua,None,araw1269
Bebeli-Mangseng,None,araw1269
Arawe,None,araw1269
East Arawe,None,araw1283
West Arawe,None,araw1283
Bibling,None,sout2874
Korap linkage,None,viti1243
Sarmi-Jayapura Bay,None,nort3206
Jayapura Bay,None,sarm1241
Sarmi,None,sarm1241
Sobei-Liki-Wakde,None,sarm1242
Sobei-Liki,None,sobe1239
Anus-Podena,None,sarm1242
Huon Gulf,None,nort3206
Markham,None,huon1245
Watut,None,mark1257
Upper Markham,None,mark1257
Mountain Upper Markham,None,uppe1423
Lower Markham,None,mark1257
Busu,None,lowe1411
Musom-Sirak,None,busu1245
South Huon Gulf linkage,None,huon1245
Buang linkage,None,sout2878
Mapos-Mangga-Wagau,None,buan1245
Mumeng,None,buan1245
Zenag-Patep,None,mume1239
Dambi-Kumaru,None,mume1239
Misim-Yamap,None,sout2878
North Huon Gulf linkage,None,huon1245
Schouten linkage,None,nort3206
Siau,None,scho1242
Sissano-Tumleo,None,siau1243
Sera-Sissano,None,siss1244
Sissanoic,None,sera1271
Ali-Tumleo,None,siss1244
Kairiru-Manam,None,scho1242
Manamic linkage,None,kair1261
Bam-Manam,None,mana1294
Manam-Sepa,None,bamm1241
Kis-Wogeo,None,mana1294
Kairiruic linkage,None,kair1261
Kaiep-Terebu,None,kair1262
Southeast Solomonic,None,ocea1241
Guadalcanal-Nggelic,None,sout2853
