name,identifier,parent
Western Pauwasi,None,pauw1244
Eastern Pauwasi,None,pauw1244
Left May,None,tree
Western Left May,None,left1242
Iteri-Bo,None,nucl1244
Lower Sepik-Ramu,None,tree
Ramu,None,lowe1437
Lower Ramu,None,ramu1234
Ottilien,None,lowe1439
Watam-Kaian,None,wagg1235
Bosngun-Awar,None,wagg1235
Ruboni,None,lowe1439
Mikarewan,None,kire1239
Aian,None,ramu1234
Agoan,None,ramu1234
Goam,None,ramu1234
Ataitan,None,goam1234
Tangu-Igom,None,tang1354
Tamolan,None,goam1234
Unclassified Tamolan,None,tamo1242
Breri-Romkun,None,tamo1242
Lower Sepik,genus/lowersepik,lowe1437
Karawarian,None,lowe1423
Nor,None,lowe1423
Mangarrayi-Maran,None,tree
Maran,None,mang1423
Hurro-Urartian,None,tree
Arawakan,None,tree
Southern Maipuran,None,araw1281
Bolivian Arawakan,None,sout3131
Unclassified Bolivian Arawakan,None,boli1260
Mojeno-Paunaca,None,boli1260
Mojeño,None,moxo1235
Kampa-Amuesha,None,sout3131
Pre-Andine Maipuran,None,kamp1244
Asha-Ashe-Kak-Matsi-Nan,None,prea1240
Asha-Ashe-Kak,None,asha1244
Ashe-Asha,None,asha1241
Ashe-Asha Norte,None,asha1242
Asheninka,None,asha1242
Matsi-Nan,None,asha1244
Purus-Chamicuro,None,sout3131
Purus,None,puru1269
Yineic,None,puru1265
Western Yineic,None,yine1239
Unclassified Purus,None,puru1265
Chamicuro-Morike,None,puru1269
Alto Orinoco,None,araw1281
Parenic,None,alto1249
Caribbean Arawakan,None,araw1281
Antillean Arawakan,None,cari1281
Ineric,None,anti1247
Island Carib-Garifuna,None,iner1234
Unclassified Caribbean Arawakan,None,cari1281
Guajiro-Paraujano,None,cari1281
Japura-Colombia,None,araw1281
Japura-Ica,None,japu1236
Nuclear Japura-Colombia,None,japu1236
Northeast Japura-Colombia,None,nucl1764
Baniwa-Curripaco-Tariano,None,nort3362
Baniwa-Curripaco,None,bani1258
Piapoco-Achagua,None,nort3362
Cassiquiare,None,nort3362
Caqueta,None,nucl1764
Medio Rio Negro,None,araw1281
Marauia-Castana,None,alto1250
Bareic,None,alto1250
Negro-Roraima,None,araw1281
Bahuanaic,None,negr1239
Cariai-Manao,None,bahu1238
Mapidianic,None,negr1239
Wapishanan,None,mapi1253
Wapishana-Atorai,None,wapi1252
Unclassified Wapishanan,None,wapi1252
Central Maipuran,None,araw1281
Xaray,None,cent2226
Xinguan Arawak,None,cent2226
Waura-Mehinaku-Kustenau,None,xing1249
Waura-Mehinaku,None,waur1246
Piawi,None,tree
Chukotko-Kamchatkan,family/chukotkokamchatkan,tree
Chukotian,None,chuk1271
Koryakic,None,chuk1272
Kamchatkan,None,chuk1271
Konda-Yahadian,None,tree
Guahiboan,None,tree
Guahibo-Cuiva,None,guah1252
Guahibo-Playero,None,guah1253
Timor-Alor-Pantar,None,tree
Alor-Pantar,None,timo1261
Teiwa-Sar,None,alor1249
Alor,None,alor1249
East Alor,None,alor1250
East Alor Montane,None,kola1286
West Alor,None,alor1250
Straits West Alor,None,west2787
Blagaric,None,stra1245
Adang-Hamap-Kabola,None,stra1245
Klon-Kafoa,None,west2787
East Timor-Bunaq,None,timo1261
East Timor,None,east2519
Fataluku-Oirata,None,east2520
Iroquoian,family/iroquoian,tree
Northern Iroquoian,genus/northerniroquoian,iroq1247
Mohawk-Oneida,None,nort2947
Tuscarora-Nottoway,None,nort2947
Chicham,genus/jivaroan,tree
Shuaric,None,jiva1245
Jarrakan,None,tree
Haida,genus/haida,tree
Northern Daly,genus/northerndaly,tree
Eastern Trans-Fly,None,tree
South Bird's Head Family,None,tree
East South Bird's Head,None,sout1516
Kemberanic,None,east1439
Pidgin,None,tree
French-based pidgin,None,pidg1258
Slavey-French-based pidgin,None,fren1279
Hindustani-based pidgin,None,pidg1258
Tahitian-based pidgin,None,pidg1258
Ewondo-based pidgin,None,pidg1258
Choctaw-based pidgin,None,pidg1258
Malay-based pidgin,None,pidg1258
Arabic-based pidgin,None,pidg1258
Iha-based pidgin,None,pidg1258
Galibi-based pidgin,None,pidg1258
Tobi-based pidgin,None,pidg1258
Bobangi-based pidgin,None,pidg1258
Ottawa-based pidgin,None,pidg1258
Trio-based pidgin,None,pidg1258
Swahili-based pidgin,None,pidg1258
German-based pidgin,None,pidg1258
Ngarluma-based pidgin,None,pidg1258
Fijian-based pidgin,None,pidg1258
Minigir-based pidgin,None,pidg1258
Romance-based pidgin,None,pidg1258
Delware-based pidgin,None,pidg1258
Hawaiian-based pidgin,None,pidg1258
Icelandic-based pidgin,None,pidg1258
Hausa-based pidgin,None,pidg1258
Basque-based pidgin,None,pidg1258
English-based pidgin,None,pidg1258
Motu-based pidgin,None,pidg1258
Enga-based pidgin,None,pidg1258
Onin-based pidgin,None,pidg1258
Duvle-based pidgin,None,pidg1258
Assamese-based pidgin,None,pidg1258
Russian-based pidgin,None,pidg1258
Kaurna-based pidgin,None,pidg1258
Manambu-based pidgin,None,pidg1258
Mekeo-based pidgin,None,pidg1258
Sepik Iwam-based pidgin,None,pidg1258
Yimas-based pidgin,None,pidg1258
Zulu-based pidgin,None,pidg1258
Chinook-based pidgin,None,pidg1258
Japanese-based pidgin,None,pidg1258
Portuguese-based pidgin,None,pidg1258
Dutch-based pidgin,None,pidg1258
Swedish-based pidgin,None,pidg1258
Spanish-based pidgin,None,pidg1258
Tukang Besi-based pidgin,None,pidg1258
Eskimo-based pidgin,None,pidg1258
Ainu,None,tree
Hokkaido-Kuril Ainu,None,ainu1252
Yangmanic,genus/yangmanic,tree
Abkhaz-Adyge,None,tree
Abkhaz-Abaza,None,abkh1242
Circassian,None,abkh1242
Goilalan,genus/goilalan,tree
Weric,None,goil1242
Jicaquean,None,tree
Sign Language,None,tree
Rural Sign Language,None,sign1238
Providencia-Cayman Sign,None,vill1244
Family Sign Language,None,sign1238
Pidgin Sign Language,None,sign1238
Deaf Sign Language,None,sign1238
Arab Sign,None,deaf1237
Levantine-Iraqi Sign,None,arab1398
LSFic,None,deaf1237
Yugoslav Sign,None,lsfi1234
Danish Sign,None,lsfi1234
Norwegian Sign,None,lsfi1234
Italian Sign,None,lsfi1234
ASLic,None,lsfi1234
Malaysian Sign,None,asli1244
Indonesian Sign,None,mala1548
Costa Rica-Honduras-Panama Sign,None,asli1244
West-Central South American Sign,None,asli1244
Peruvian-Inmaculada Sign,None,west2886
Nigerian Sign,None,asli1244
American Sign,None,asli1244
Dutch-Belgian Sign,None,lsfi1234
Belgian Sign,None,dutc1259
Catalan Sign,None,lsfi1234
Central European Sign,None,lsfi1234
JSLic,None,deaf1237
Indo-Pakistani-Nepalese Sign,None,deaf1237
Indo-Pakistani Sign,None,indo1331
Old Chiangmai-Bangkok-Haiphong Sign,None,deaf1237
Old Chiangmai-Bangkok Sign,None,oldc1249
Russian Sign,None,deaf1237
BSLic,None,deaf1237
BANZL,None,bsli1234
Auslan-PNG Sign,None,banz1243
South African Sign,None,bsli1234
Chile-Paraguay-Uruguay Sign,None,deaf1237
Paraguay-Uruguay Sign,None,chil1284
CSLic,None,deaf1237
Nuclear CSLic,None,csli1234
Ha-Hoic,None,csli1234
Swedish Sign,None,deaf1237
Finnish Sign,None,swed1257
Unclassified Deaf Sign Language,None,deaf1237
Spanish Sign,None,deaf1237
DGSic,None,deaf1237
Auxiliary Sign Systems,None,sign1238
Khoe-Kwadi,None,tree
Khoe,None,khoe1240
Non-Khoekhoe,None,khoe1241
West-Kxoe,None,nonk1236
Kxoe-Ani,None,west2506
Naro-Ana,None,west2506
Ana,None,naro1248
Ost-Kxoe,None,nonk1236
Tshwa Khoe,None,ostk1235
Khoekhoe,None,khoe1241
North Khoekhoe,None,khoe1242
South Khoekhoe,None,khoe1242
Misumalpan,None,tree
Sumalpan,None,misu1242
Sumuic,None,suma1272
Matagalpan,None,suma1272
Puri-Coroado,None,tree
Kayagaric,genus/kayagar,tree
Kaygir-Tamagario,None,kaya1327
Southern Daly,None,tree
Coosan,genus/coosan,tree
Tai-Kadai,None,tree
Kam-Tai,None,taik1256
Kam-Sui,None,kamt1241
Mulam-Kam,None,kams1241
Kamic,None,mula1252
Northern Kam,None,kami1255
Then-MMS,None,kams1241
Maonan-Mak-Sui,None,then1235
Maonan-Chadong,None,maon1239
Mak-Ai-Cham,None,maon1239
Lakkia-Biao,None,kamt1241
Biaoic,None,lakk1237
Daic-Beic,None,kamt1241
Beic,None,daic1238
Lingao,None,beic1239
Daic,None,daic1238
Central-Southwestern Tai,None,daic1237
Wenma-Southwestern Tai,None,cent2251
Sapa-Southwestern Tai,None,wenm1239
Southwestern Tai,None,sapa1255
Southwestern Thai PH,None,sout3184
Siamese,None,sput1235
Lao-Thai,None,sput1235
Sakon Nakhon,None,laot1235
Southwestern Tai P,None,sout3184
White Tai,None,sout2743
Shan Tai,None,sout2743
Northern Shan,None,shan1276
Southern Shan,None,shan1276
Unclassified Shan,None,shan1276
Assam Tai,None,shan1276
Phakeic,None,assa1264
Black Tai,None,sout2743
Lue-Yong,None,sout2743
Red Tai,None,sout2743
Tai Muong,None,redt1235
Debao-Jingxi-Nung,None,cent2251
Northern Daic-Sek,None,daic1237
Northern Daic,None,nort3326
Northern Tai,None,nort3180
Unclassified Northern Tai,None,nort3189
Yongnan-Yongbei,None,nort3180
Hlaic,None,taik1256
Nuclear Hlaic,None,hlai1238
Kadaic,None,taik1256
Eastern Kra,None,kada1291
Buyang,None,east2365
Northern Buyang,None,buya1244
Southwestern Kra,None,kada1291
Western Kra,None,sout3143
Gelaoic,None,west2798
Northern Gelao,None,gela1265
Ahouic,None,nort3188
Southwestern Gelao,None,gela1265
Lachic,None,west2798
Southern Kra,None,sout3143
Zamucoan,genus/zamucoan,tree
Zamuco-Ayoreo,None,zamu1243
Algic,None,tree
Algonquian-Blackfoot,None,algi1248
Algonquian,None,algo1256
Arapahoic,None,algo1257
Arapaho-Gros Ventre-Besawunena,None,arap1273
Eastern Algonquian,None,algo1257
Nanticoke-Conoy,None,east2700
Southern New England Algonquian,None,east2700
Abenaki,None,east2700
Delawaran,None,east2700
Common Delaware,None,dela1253
Cree-Montagnais-Naskapi,None,algo1257
Cree,None,cree1271
Plains Creeic,None,cree1272
Eastern Great Lakes Algonquian,None,algo1257
Fox,None,east2765
Ojibwa-Potawatomi,None,east2765
Ojibwa,None,ojib1240
Severn-Algonquin,None,ojib1241
Nuclear Ojibwe,None,ojib1241
Central-Eastern-Southwestern Ojibwa,None,nucl1723
Northwestern-Saulteaux Ojibwa,None,nucl1723
Sko,family/skou,tree
Skou-Serra-Piore,None,skoo1245
Serra Hills,None,skou1238
Rawo-Main Serra,None,serr1253
Nuclear Skou-Serra-Piore,None,skou1238
Barupu Lagoon,None,skou1238
Namla-Tofanma,None,tree
Guaicuruan,None,tree
Guaicuru del Sur,None,guai1249
Qom,None,guai1250
Pilaga-Toba,None,qomm1235
Tor-Orya,None,tree
Tor,None,toro1256
Coastal Tor,None,tora1268
Betaf-Vitou,None,coas1312
Peba-Yagua,None,tree
Peba-Yameo,None,peba1241
Border,genus/border,tree
Bewani,None,bord1247
Pagi-Kilmeri,None,bewa1242
Warisic,None,bord1247
Nuclear Warisic,None,wari1265
Waina-Punda,None,nucl1773
Taikat-Awyi,None,bord1247
Aymaran,None,tree
Tupe,None,ayma1253
Central-Southern Aymara,aym,ayma1253
Somahai,None,tree
Dagan,genus/dagan,tree
Chibchan,family/chibchan,tree
Core Chibchan,None,chib1249
Magdalenic,None,core1252
Northern Magdalenic,None,magd1236
Arhuacic,None,nort3000
Eastern-Southern Arhuacic,None,arhu1241
Eastern Arhuacic,None,east2571
Southern Magdalenic,None,magd1236
Tunebo,None,sout3015
Chibcha-Duit,None,sout3015
Isthmic Chibchan,None,core1252
Eastern Isthmic Chibchan,None,isth1243
Guaymiic,None,east2569
Kuna,genus/kuna,east2569
Doracic,None,isth1243
Western Isthmic Chibchan,None,isth1243
Viceitic,None,west2641
Unclassified Chibchan,None,core1252
Votic Chibchan,None,core1252
Nyulnyulan,None,tree
Western Nyulnyulan,None,nyul1248
Nyulnyulic,None,west2872
Bardic,None,west2872
Eastern Nyulnyulan,None,nyul1248
Yawuric,None,east2381
Nyikinic,None,east2381
Unclassified Eastern Nyulnyulan,None,east2381
Lencan,None,tree
Siouan,genus/siouan,tree
Catawban,None,siou1252
Core Siouan,None,siou1252
Ohio Valley Siouan,None,core1249
Southeastern Siouan,None,ohio1234
Mississippi Valley,None,core1249
Winnebago-Chiwere,None,miss1254
Dhegiha,None,miss1254
Osage-Kansa,None,dheg1241
Dakotan,None,miss1254
Sioux,None,dako1257
Missouri River Siouan,None,core1249
North Halmahera,None,tree
Northern North Halmahera,None,nort2923
Mainland North Halmaheran,None,nort2924
Tobelo-Tugutil,None,main1282
Kao River,None,main1282
Paguic,None,kaor1242
Galela-Loloda,None,main1282
Sahuan,None,nort2924
Nuclear Sahuan,None,sahu1244
Sahu-Waioli,None,nucl1759
Ternatean,None,nort2924
Kiowa-Tanoan,genus/kiowatanoan,tree
Tiwa-Piro,None,kiow1265
Tiwa,None,tiwa1254
Taos-Picuris,None,tiwa1255
Tewa,None,kiow1265
Kresh-Aja,None,tree
Kreshic,None,kres1240
Kamula-Elevala,None,tree
Elevala,None,kamu1264
Chinookan,None,tree
Lower Chinookan,None,chin1490
Huitotoan,family/huitotoan,tree
Unclassified Huitotoan,None,huit1251
Nuclear Witotoan,None,huit1251
Minica-Murui,None,nucl1659
Nonuya-Ocaina,None,huit1251
Kxa,None,tree
Ju-Kung,None,kxaa1236
Quechuan,None,tree
Quechua II,None,quec1387
Cajamarca-Lambayeque Quechua,None,quec1388
Quechua IIC,None,quec1388
Ayacuchan Quechua,None,quec1389
Cuscan Quechua,None,quec1389
Colombia-Ecuador Quechua,None,quec1389
Ecuadorian Quechua B,None,colo1257
Imbabura-Colombia-Oriente Quechua,None,ecua1249
Colombia-Oriente Quechua,None,imba1241
Oriente Quechua,None,colo1258
Pastaza Quechua,None,orie1242
Ecuadorian Quechua A,None,colo1257
Bolivian-Argentinian Quechua,qbo,quec1389
Quechua IIB,None,quec1388
San Martin-Amazonas Quechua,None,quec1384
Quechua I,None,quec1387
Central Quechua I,None,quec1386
Jauja-Huanca,None,cent2141
AP-AM-AH,None,cent2141
Huangascar-Topara,None,cent2141
Huaylay,None,cent2141
Conchucos,None,huay1239
Yaru Quechua,None,cent2141
Yukaghir,genus/yukaghir,tree
Kolymic,None,yuka1259
Kartvelian,None,tree
Georgian-Zan,None,kart1248
Zan,None,geor1252
Georgic,None,geor1252
East Kutubu,None,tree
West Bird's Head,genus/westbirdshead,tree
South West Bird's Head,None,west1493
Seget-Moi,None,west1493
Kadugli-Krongo,None,tree
Central-Western Kadugli-Krongo,None,kadu1256
Krongo-Tumtum,None,cent2229
Katcha-Kadugli-Miri-Kanga,None,cent2229
Kalapuyan,None,tree
Saharan,None,tree
Western Saharan,None,saha1256
Tebu,tbu,west2505
Kanuri-Kanembu,None,west2505
Kanuric,None,kanu1279
East Kanuri,None,kanu1281
Kanembuic,None,kanu1279
Eastern Saharan,None,saha1256
Pano-Tacanan,None,tree
Tacanan,genus/tacanan,pano1259
Unclassified Tacanan,None,taca1255
Takanik-Chamik,None,taca1255
Takanik,None,taka1267
Araona-Toromono,None,taka1268
Panoan,None,pano1259
Mainline Pano,None,pano1256
Pano Nawa,None,main1279
Bolivian Nawa,None,pano1257
Unclassified Bolivian Nawa,None,boli1261
Poyanawa Subgroup,None,pano1257
Madre de Dios Pano,None,pano1257
Marubo Subgroup,None,pano1257
Chama subgroup,None,pano1257
Shipibo-Konibo-Kapanawa,None,cham1314
Headwaters Pano,None,pano1257
Yaminawa Complex,None,head1239
Mayoruna Branch,None,pano1256
Mayo Group,None,mayo1277
Matis subgroup,None,mayo1269
Matses subgroup,None,mayo1269
North-Eastern Tasmanian,None,tree
Yawa-Saweru,genus/yawa,tree
Sino-Tibetan,None,tree
Macro-Bai,None,sino1245
Caijia-Baic,None,macr1275
Baic,None,caij1235
South-Central Bai,None,baic1239
Digarish,None,sino1245
Brahmaputran,None,sino1245
Jingpho-Luish,None,brah1260
Jingpho,None,jing1259
Luish,None,jing1259
Unclassified Luish,None,sakk1239
Chakpa,None,sakk1239
Bodo-Garo,None,brah1260
Boroic,None,bodo1279
Tiwa-Boro,None,boro1284
Bodo-Mech-Kachari,None,tiwa1256
Dimasa-Kokborok,None,boro1284
Tipperic,None,dima1253
Kochic,None,bodo1279
Unclassified Brahmaputran,None,brah1260
Konyak,None,brah1260
Konyak I,None,kony1246
Khiamniungic,None,kony1247
Leinong-Makyan,None,khia1235
Tangsa-Nocte,None,kony1246
Tangsa,None,kony1249
Sinitic,None,sino1245
Classical-Middle-Modern Sinitic,None,sini1245
Middle-Modern Sinitic,None,clas1255
Yue-Pinghua,None,midd1354
Pinghua,None,yuep1234
Northern Chinese,None,midd1354
Mandarinic,None,nort3155
Zhongyuan,None,mand1471
Wu-Hui Chinese,None,midd1354
Min,None,sini1245
Inland Min,None,minn1248
Coastal Min,None,minn1248
Himalayish,None,sino1245
Mahakiranti,None,hima1249
Kham-Magar-Chepang,None,maha1306
Magar,None,kham1285
Kham,None,kham1285
Parbate Kham,None,kham1286
Chepangic,None,kham1285
Newaric,None,maha1306
Newar,None,newa1245
Thangmi-Baram,None,newa1245
Kiranti,None,maha1306
Western Kiranti,None,kira1253
Chaurasiya,None,west2424
Northwestern Kiranti,None,west2424
Upper Dudhkosi,None,west2424
Central Kiranti,None,kira1253
Southern Central Kiranti,None,cent2250
Bantawic,None,sout2736
Khambu,None,cent2250
Kulungic,None,kham1300
Eastern Kiranti,None,kira1253
Greater Yakkha,None,east2719
Athpariyic,None,grea1285
Upper Arun,None,east2719
Lohorung-Yamphu,None,uppe1412
Yamphuic,None,loho1238
Mewahang,None,uppe1412
Nungish,None,sino1245
Gunong,None,nung1293
Macro-Tani,None,sino1245
Koro-Holon,None,macr1268
Tani,None,macr1268
Pre-Western Tani,None,tani1259
Western Tani,None,prew1234
Subansiri,None,west2797
Bangni-Tagin,None,suba1255
Damu-Tangam,None,prew1234
Eastern Tani,None,tani1259
Tujia,None,sino1245
Raji-Raute,None,sino1245
Raute-Rawat,None,raji1239
Miji,None,sino1245
Kho-Bwa,None,sino1245
Western Kho-Bwa,None,khob1235
Chug-Lish,None,meyi1234
Sartang-Sherdukpen,None,meyi1234
Puroikic,None,khob1235
Kuki-Chin-Naga,None,sino1245
Tangkhul-Maring,None,kuki1245
Maringic,None,tang1335
Tangkhulic,None,tang1335
Unclassified Tangkhulic,None,sino1246
Kuki-Chin,None,kuki1245
Peripheral Kuki-Chin,None,kuki1246
South Peripheral Kuki-Chin,None,peri1260
Ashoic,None,sout3160
Choic,None,sout3160
Daai-Muun,None,choi1241
Khomic,None,peri1260
Northeastern Kuki-Chin,None,peri1260
Thadoic,None,nort3179
Sizangic,None,nort3179
Gangte-Vaiphei,None,siza1239
Central Kuki-Chin,None,kuki1246
Core Central Kuki-Chin,None,cent2330
Lai Chin,None,cent2005
Falamic,None,laic1236
Mizoic,None,cent2005
Hmaric,None,mizo1244
Maraic,None,cent2330
Nuclear Maraic,None,mara1381
Northwestern Kuki-Chin,None,kuki1246
Moyon-Monsang Naga,None,oldk1252
Aimol-Syriem,None,oldk1252
Angami-Ao,None,kuki1245
Angami-Pochuri,None,anga1312
Angami-Mao,None,anga1286
Angami-Chokri,agm,anga1244
Naga Maoic,None,anga1244
Rengma-Simi,None,anga1286
Pochuri-Northern Rengma,None,anga1286
Central Naga,None,anga1312
Yimchingric,None,aoic1235
Makuric,None,yimc1239
Karbic,None,kuki1245
Zemeic,None,kuki1245
Nuclear Zemeic,None,zeme1241
Burmo-Qiangic,None,sino1245
Lolo-Burmese,None,burm1265
Unclassified Lolo-Burmese,None,lolo1265
Burmish,None,lolo1265
Southern Burmish,None,burm1266
Nuclear Southern Burmish,None,sout3159
Arakanese-Marma,None,nucl1730
Old-Modern Burmese,None,nucl1730
Northern Burmish,None,burm1266
High Northern Burmish,None,nort2720
Leqic,None,high1273
Achangic,None,high1273
Mid Northern Burmish,None,nort2720
Loloish,None,lolo1265
Nusoish,None,lolo1267
Ni-Li-Kazhouish,None,lolo1267
Lawoish,None,nili1235
Southeastern Ngwi,None,nili1235
Highland Phula,None,sout3212
Phowa,None,high1272
Ani-Labo,None,phow1235
Hlepho-Phukha,None,phow1235
Khlula-Zokhuo,None,hlep1235
Muji,None,high1272
Laghuu-Core Muji,None,muji1235
Thopho-Core Muji,None,lagh1244
Core Muji,None,thop1235
Nuclear Core Muji,None,core1246
Northern-Southern Muji,None,nucl1309
Bokha-Phuma,None,nucl1309
Nisoid,None,sout3212
Nisu-Nyisu,None,niso1234
Nisu,None,nisu1237
North Nisu,None,nisu1238
Unclassified Nisoid,None,niso1234
Nuclear Nisoid,None,niso1234
Unclassified Nuclear Nisoid,None,nucl1739
Nasu-Nosu,None,nucl1739
Nesu-Nasu,None,nasu1236
Nesu,None,nesu1234
Nasu-Gepu,None,nesu1234
Unclassified Nasu-Gepu,None,nasu1237
Riverine Phula,None,sout3212
Downriver Riverine Phula,None,rive1256
Phupha-Alugu,None,down1239
Phupa-Phuza,None,down1239
Upriver Riverine Phula,None,rive1256
Pholic,None,upri1239
Unclassified Southeastern Ngwi,None,sout3212
Axioid,None,sout3212
Sani-Axi-Azhe,None,sani1266
Sani-Axi,None,sani1267
Lisoid,None,nili1235
Nuclear Lisoid,None,liso1234
Lisu-Laluba-Lavu,None,nucl1734
Laluba-Lavu,None,lisu1252
Lalo,None,lalu1234
Greater Lalo,None,lalo1240
Core Lalo,None,grea1292
Central-Western Lalo,None,core1258
Unclassified Core Lalu,None,core1258
Kuansi-Kuamasi-Sonaga,None,lalu1234
Kuansi-Kuamasi,None,kuan1251
Unclassified Lisoid,None,liso1234
Lipo-Lolopo,None,liso1234
Unclassified Lipo-Lolopo,None,lipo1243
Lipo-Micha,None,lipo1243
Kazhouish,None,nili1235
Lahoid,None,lolo1267
Hani-Jino,None,lolo1267
Bisoid-Hanic,None,hani1249
Sila-Wanya-Cosao,None,biso1244
Hanic,None,biso1244
Bi-Ka,None,hani1250
Ha-Ya,None,hani1250
Akhaic,None,haya1251
Bisoid,None,biso1244
Phunoi-Coong,None,biso1241
Unclassified Bisoid,None,biso1241
Bisu-Pyen-Laomian,biu,biso1241
Jino,jin,hani1249
Mondzish,None,lolo1265
Nuclear Mondzish,None,mond1269
Munji-Mantsi,None,mond1268
Na-Qiangic,None,burm1265
Ersuic,None,naqi1236
Qiangic,genus/qiangic,naqi1236
Unclassified Qiangic,None,qian1263
Chamdoic,None,uncl1511
Qiang,qia,qian1263
Upstream-Nu Qiang,None,qian1264
Pumi,pum,qian1263
Gyalrongic,None,qian1263
Horpa-Khroskyabs,None,rgya1241
Horpa,None,horp1241
Core Gyalrong,None,rgya1241
Northern Gyalrong,rgc;jia;gyc,core1262
Naic,None,naqi1236
Naish,None,naic1235
Mruic,None,sino1245
Bodic,None,sino1245
West Himalayish,None,bodi1256
Western West Himalayish,None,tibe1275
Kinnauric,None,west2868
Thebor,None,kinn1250
Lahaulic,None,west2868
Eastern West Himalayish,None,tibe1275
Central-Eastern West Himalayish,None,east2777
Unclassified Central-Eastern West Himalayish,None,cent2311
Pithauragarh,None,east2777
Darma-Byangsi-Chaudangsi,None,pith1234
Darma-Byangsi,None,darm1241
Kaike-Ghale-Tamangic,None,bodi1256
Ghale-Tamangic,None,kaik1248
Ghale,None,ghal1247
Tamangic,None,ghal1247
Nuclear Tamang,None,tama1367
Gurungic,None,tama1367
Manangba-Nar-Phu,None,guru1260
Thakali-Chantyal,None,guru1260
Bodish,None,bodi1256
Unclassified Bodish,None,bodi1257
Early Old Tibetan,None,bodi1257
Western Archaic Tibetan,None,oldm1245
Shamskatic,None,lada1242
Kenhatic,None,lada1242
Middle Old Tibetan,None,oldm1245
Late Old Tibetan,None,tibe1276
Lahauli-Spiti,None,late1253
Spiti-Jad,None,laha1255
Kham-Hor,None,late1253
Eastern Tibetic,None,late1253
Southern Tibetic,None,late1253
Unclassified Southern Tibetic,None,sout3217
Dzongkhic,None,sout3217
Nuclear Dzongkhic,None,dzon1238
Central Tibetan,None,late1253
South-Western Tibetic,None,cent2346
Dolpo-Tichurong,None,sout3216
Kyirong-Kagate,None,sout3216
Gyalsumdo-Nubri-Kyirong,None,kyir1235
Yolmo-Kagate,None,kyir1235
Sherpa-Jirel,None,sout3216
Sherpaic,None,sher1254
Tshangla-East Bodish,None,bodi1257
East Bodish,None,tsha1246
Mainstream East Bodish,None,east1469
Phobjib-Chali-Bumthangic,None,main1269
Chali-Bumthangic,None,phob1238
Bumthangic,None,chal1266
Dakpa-Dzala,None,main1269
Tshanglic,None,tsha1246
Unclassified Sino-Tibetan,None,sino1245
Dhimalish,None,sino1245
Kman-Meyor,None,sino1245
Karenic,None,sino1245
Central Karen,None,kare1337
Kayaw-Manu,None,cent1999
Geba-Bwe,None,cent1999
Kayah-Yintale,None,cent1999
Kayah,None,kaya1337
Peripheral Karen,None,kare1337
Pwo,None,peri1254
Eastern-Western Pwo Karen,kpw,pwoo1239
Northern Pwo Karen,None,pwoo1239
Northern Karen,None,kare1337
Southern Karen,None,kare1337
Sgaw,None,sout1554
Ticuna-Yuri,None,tree
Geelvink Bay,None,tree
Barapasi-Sauri-Kofei,None,geel1240
Sauri-Kofei,None,bara1399
Burate-Wate,None,geel1240
Manubaran,None,tree
Pama-Nyungan,None,tree
Desert Nyungic,None,pama1250
Marrngu,None,dese1234
Wati,None,dese1234
Unclassified Wati,None,wati1241
Pintupic,None,wati1241
Nuclear Pintupic,None,pint1254
Wangkatja-Tjarra,None,nucl1724
Tjarra,None,wang1300
Martuwangkic,None,wati1241
Warnman-Wangka,None,mart1257
Ngumpin-Yapa,None,dese1234
Yapa,None,ngum1251
Ngumpin,None,ngum1251
Jaru-Ngardi,None,ngum1256
Gurindjic,None,ngum1256
Macleay-New England,None,pama1250
Unclassified Pama-Nyungan,None,pama1250
Kalkatungic,None,pama1250
East Queensland Border Pama Nyungan,None,pama1250
Yugambalic,None,east2770
Yugambal-Bigambal,None,yuga1242
Paman,None,pama1250
Mayabic,None,pama1251
Nuclear Mayabic,None,maya1279
Lamalamic,None,pama1251
Coastal Lamalamic,None,lama1273
Southwest Pama,None,pama1251
Coastal Southwest Paman,None,sout3141
Dhawa-Kaber,None,coas1313
Upper Southwest Paman,None,sout3141
Norman Pama,None,pama1251
Kuthant-Gurdjar,None,norm1247
Rib-Gurdjar,None,kuth1239
Finasleigh Pama,None,pama1251
Northern Pama,None,pama1251
Gudang-Northeast Paman,None,nort2758
Northeast Paman,None,guda1246
Uradhic,None,nort3278
Yadhaykenu-Angkamuthi,None,urad1238
Linngithigh-Alngith,None,nort2758
Albatross Bay,None,nort2758
Anguthimri-Yangathimri-Yuputhimri,None,alba1272
Anguthimri-Yangathimri,None,angu1243
Alaya-Athima,None,pama1251
Thaypanic,None,alay1234
Southwestern Alaya-Athima,None,alay1234
Central Alaya-Athima,None,alay1234
Compromise Middle Pama,None,pama1251
Northeastern Pama,None,comp1236
Umbindhamuic,None,nort3256
Umpilaic,None,nort3256
Wik,None,comp1236
Flinders-Barrow,None,wika1239
Kuku-Wik-Ep,None,wika1239
Kuku-Wik,None,kuku1276
Paman Kuku,None,kuku1277
Ngatharra-Ngathana-Iinychanya,None,wika1239
Greater Maric,None,pama1250
Unclassified Greater Maric,None,grea1282
Bindalic,None,unun9965
Guwa-Maric,None,grea1282
Guwa-Yanda,None,guwa1245
Maric,None,guwa1245
Northern Maric,None,mari1445
Warungu-Gugu Badhun,None,nort2757
Southern Maric,None,mari1445
Margany-Gunya,None,sout2765
