id,name,parent,latitude,longitude,countries,macroareas,status
xsq,Makhuwa-Saka,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|makh1266,-13.6443,39.5323,|MZ,|Africa,not endangered
mgh,Makhuwa-Meetto,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|makh1261,-11.9553,38.6874,|MZ|TZ,|Africa,not endangered
vmw,Makhuwa,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|makh1264,-14.8509,38.8052,|MZ,|Africa,not endangered
ngl,Mozambique Lomwe,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|lomw1242|lomw1241,-16.0381,37.2437,|MW|MZ,|Africa,not endangered
lon,Malawi Lomwe,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|lomw1242|mala1256,-15.56729,35.43347,|MW|MZ,|Africa,not endangered
xmc,Makhuwa-Marrevone,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|makh1262,-16.9394,39.1203,|MZ,|Africa,not endangered
mhm,Makhuwa-Moniga,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|maku1279|makh1265,-17.294,38.093,|MZ,|Africa,not endangered
eko,Koti,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|koti1238,-16.4823,39.7602,|MZ,|Africa,not endangered
nte,Nathembo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|nath1238,-16.0973,39.9062,|MZ,|Africa,not endangered
cwb,Maindo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|main1272,-18.3143,36.5941,|MZ,|Africa,threatened
llb,Lolo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|chuw1239|lolo1261,-17.0232,35.9451,|MW|MZ,|Africa,not endangered
chw,Chuwabu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|chuw1239|chuw1238,-17.3428,37.1231,|MZ,|Africa,not endangered
tke,Takwane,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|chuw1239|takw1238,-16.2276,36.249,|MW|MZ,|Africa,not endangered
vmr,Marenje,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|chuw1239|mare1260,-16.2129,35.7425,|MW|MZ,|Africa,not endangered
mny,Manyawa,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|many1259,-16.4963,36.8459,|MZ,|Africa,not endangered
kzn,Kokola,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|east2731|sout3180|soth1250|soth1251|maku1247|koko1267,-16.2681,35.5767,|MW|MZ,|Africa,not endangered
kbj,Kari,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|extr1247|kari1306,5.03525,25.7491,|CD,|Africa,shifting
nyc,Nyanga-li,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|extr1247|nyan1303,2.97634,29.1805,|CD,|Africa,moribund
jgb,Ngbee,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|extr1247|ngbe1238,3.60447,27.6529,|CD,|Africa,extinct
hom,Homa,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|ngen1255|homa1239,4.97912,28.0039,|SD,|Africa,extinct
myc,Mayeka,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|ngen1255|ngbi1239|maye1238,-1.10038,17.82247,|CD,|Africa,moribund
nbd,Ngbinda,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|ngen1255|ngbi1239|ngbi1238,3.27251,23.5669,|CD,|Africa,nearly extinct
bqu,Boguru,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|ngen1255|unun9928|bogu1241,4.49213,29.1344,|CD|SD,|Africa,shifting
boy,Bodo (Central African Republic),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|ngbe1239|ngen1255|unun9928|bodo1272,6.0,26.0,|CF,|Africa,moribund
rwm,Amba (Uganda),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|amba1263,0.81206,30.0014,|CD|UG,|Africa,threatened
brf,Bera,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bera1259,1.50054,30.0293,|CD,|Africa,threatened
bhy,Bhele,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bila1258|bhel1238,0.24553,28.6681,|CD,|Africa,threatened
kmw,Komo (Democratic Republic of Congo),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bila1258|komo1260,-0.76333,26.7144,|CD,|Africa,threatened
bip,Bila,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bila1258|bila1259|bila1255,1.16839,28.7626,|CD,|Africa,not endangered
kkq,Kaiku,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bila1258|bila1259|kaik1247,0.75068,28.7394,|CD,|Africa,not endangered
kzy,Kango (Tshopo District),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|komo1265|bila1258|kang1285,1.59855,27.0186,|CD,|Africa,threatened
kty,Kango (Bas-Uélé District),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|midd1348|late1250|kang1286,3.47633,24.8202,|CD,|Africa,not endangered
bww,Bwa,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|midd1348|late1250|paga1238|bwaa1238,2.5957,25.2514,|CD,|Africa,not endangered
pae,Pagibete,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|midd1348|late1250|paga1238|pagi1243,3.15636,22.1212,|CD,|Africa,not endangered
agh,Ngelima,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|midd1348|late1250|ngel1238,1.81314,24.8754,|CD,|Africa,not endangered
lik,Liko,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|oldb1234|midd1348|lika1243,2.13777,27.6088,|CD,|Africa,not endangered
bcp,Bali (Democratic Republic of Congo),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|bali1286|bali1274,1.1807,26.5941,|CD,|Africa,not endangered
bkf,Beeke,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|abab1240|bali1286|beek1238,3.18438,29.9842,|CD,|Africa,shifting
sxe,Sighu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|sigh1238,-0.95605,13.1214,|GA,|Africa,shifting
dma,Duma,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|njeb1244|ndja1235|duma1253,-0.91927,13.0046,|GA,|Africa,not endangered
wdd,Wandji,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|njeb1244|ndja1235|wand1266,-1.51945,12.8951,|GA,|Africa,not endangered
nzb,Njebi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|njeb1244|ndja1234|njeb1242,-2.18115,12.7063,|CG|GA,|Africa,not endangered
tsa,Tsaangi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|njeb1244|ndja1234|tsaa1242,-2.29245,12.7581,|CG|GA,|Africa,not endangered
None,Vili of Ngounie,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|sigu1234|njeb1244|vili1239,-2.752859,10.305563,|GA,|Africa,moribund
ebo,Teke-Eboo-Nzikou,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|ngun1278|teke1278,-2.384219,15.623277,|CG|CD,|Africa,threatened
